trial_index_var,sent_var,quest_var,ans_1_var,ans_2_var,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp.keys,key_resp.rt,key_resp_quest.keys,key_resp_quest.rt,participant_name,participant_number,date,expName,psychopyVersion,frameRate,
5,"Although I really hated mathematics in school, I became a decent engineer. ",I hated:,a) math.,b) physics.,0,0,0,4,space,3.8980714000063017,left,1.6115966000361368,Willy,004,2021_Jul_08_1720,example_reading,2021.2.0,59.99973598518167,
4,"Even as Joe's drug addiction became obvious, he denied having a problem.",Did Joe go to rehab?,a) Yes.,b) No.,0,1,1,3,space,3.903497999999672,right,1.1243095999816433,Willy,004,2021_Jul_08_1720,example_reading,2021.2.0,59.99973598518167,
8,Mark and Shelley found an apartment in one of the fancy neighborhoods of London.,The neighborhood is:,a) shabby.,b) fancy.,0,2,2,7,space,2.833192600053735,left,0.7377190999686718,Willy,004,2021_Jul_08_1720,example_reading,2021.2.0,59.99973598518167,
3,Several penguins escaped their cages in the zoo and went for a walk in the park.,The penguins went to:,a) a park.,b) a lake.,0,3,3,2,space,2.9309160000411794,left,1.5571543000405654,Willy,004,2021_Jul_08_1720,example_reading,2021.2.0,59.99973598518167,
